task,string_square_sequence,program,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
4,8070615040312010837463534433847465544435241405-14,[{'R10{fI!d{rl}/{f}}': 1}],1.0,R10{fI!d{rl}/{f}},1.0,277.0,0.0036101083032490976
4,807061504031201100,[{'W!b{Ix=1{I!d{f}r}/{l}}': 1}],1.0,W!b{Ix=1{I!d{f}r}/{l}},1.0,277.0,0.0036101083032490976
4,8071,"[{'rW!b{W!y{f}}': 1, 'rWg{lr}Ib{f}': 2, 'rWg{lr}': 1, 'W!b{Id{lr}/{Ik{r}}}': 1}]",4.0,rWg{lr}Ib{f},5.0,277.0,0.018050541516245487
4,807160,"[{'Id{f}/{rl}': 2, 'R2{}rl': 1, 'R5{}rl': 1}]",3.0,Id{f}/{rl},4.0,277.0,0.01444043321299639
4,8071605-1,"[{'W!b{Id{f}/{Ik{r}l}}': 1, 'W!b{Id{f}/{Iy{l}/{r}}}': 1}]",2.0,W!b{Id{f}/{Ik{r}l}},2.0,277.0,0.007220216606498195
4,8071605041302010837364534333847465544435241405-14,"[{'R10{I!d{rl}/{f}f}': 1, 'W!b{I!d{rl}/{f}f}': 1}]",2.0,R10{I!d{rl}/{f}f},2.0,277.0,0.007220216606498195
4,807160504130201100-10,"[{'R3{rlf}': 1, 'W!b{rlId{f}/{f}}': 1}]",2.0,R3{rlf},2.0,277.0,0.007220216606498195
4,80716051,"[{'rIy{lr}': 1, 'rIy{lr}/{f}': 1}]",2.0,rIy{lr},2.0,277.0,0.007220216606498195
4,8071605140,"[{'R2{I!d{rl}}': 1, 'R2{I!d{rl}/{f}}': 1, 'R2{I!b{rl}/{f}}': 1}]",3.0,R2{I!d{rl}},3.0,277.0,0.010830324909747292
4,80716051403-1,[{'rR2{lrl}': 1}],1.0,rR2{lrl},1.0,277.0,0.0036101083032490976
4,807160514031,"[{'rR2{lr}': 1, 'rR2{Iy{lr}/{f}}': 1}]",2.0,rR2{lr},2.0,277.0,0.007220216606498195
4,80716051403120,"[{'W!d{rl}': 4, 'R3{rl}': 3, 'W!d{rlIx=4{R2{f}}}': 1, 'W!b{W!d{rl}}': 1, 'R3{Id{f}/{rl}}': 1}]",5.0,W!d{rl},10.0,277.0,0.036101083032490974
4,807160514031201083,"[{'W!d{rl}fI!y{}': 1, 'W!b{Id{f}/{Ix!=4{rl}}}': 2, 'W!d{rl}f': 1, 'R3{rl}f': 3, 'Ix!=4{R3{rl}f}': 1, 'Ix!=4{R3{rl}f}/{}': 3, 'Ix!=4{R3{rl}f}/{f}': 1}]",7.0,R3{rl}f,12.0,277.0,0.04332129963898917
4,807160514031201083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041,"[{'W!b{W!d{Ix=1{r}/{l}}f}': 1, 'W!b{W!d{Ix>=2{l}/{r}}f}': 2}]",2.0,W!b{W!d{Ix>=2{l}/{r}}f},3.0,277.0,0.010830324909747292
4,8071605140312010837263524332231203-12,[{'W!b{Id{f}/{r}l}': 1}],1.0,W!b{Id{f}/{r}l},1.0,277.0,0.0036101083032490976
4,80716051403120108373,[{'Wx!=4{R3{rl}f}f': 1}],1.0,Wx!=4{R3{rl}f}f,1.0,277.0,0.0036101083032490976
4,8071605140312010837363534333847464544434241404-14,[{'W!b{rlId{Wx!=3{f}}}': 2}],1.0,W!b{rlId{Wx!=3{f}}},2.0,277.0,0.007220216606498195
4,8071605140312010837363544333847465544534251405-14,"[{'W!b{W!d{rl}W!y{f}}': 1, 'W!b{rlId{W!y{f}}}': 1}]",2.0,W!b{W!d{rl}W!y{f}},2.0,277.0,0.007220216606498195
4,8071605140312010837364534433847564554435241404,"[{'R10{I!d{rl}/{ff}}': 1, 'R10{Id{ff}/{rl}}': 1, 'W!b{rlId{ff}}': 1, 'W!b{W!d{rl}ff}': 1}]",4.0,R10{I!d{rl}/{ff}},4.0,277.0,0.01444043321299639
4,80716051403120108374,"[{'W!d{rl}fI!d{r}': 1, 'W!d{rl}fI!y{r}': 1}]",2.0,W!d{rl}fI!d{r},2.0,277.0,0.007220216606498195
4,8071605140312010837463,"[{'R3{rl}frl': 1, 'R5{Id{f}/{rl}}': 1}]",2.0,R3{rl}frl,2.0,277.0,0.007220216606498195
4,807160514031201083746352413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150413021108372615041302110837261504130211083726150,[{'W!b{Ix=1{Id{f}r}/{l}}': 1}],1.0,W!b{Ix=1{Id{f}r}/{l}},1.0,277.0,0.0036101083032490976
4,80716051403120108374635443,"[{'W!b{W!d{rl}Ix=1{f}/{}}': 1, 'R6{I!d{rl}/{f}}': 1}]",2.0,W!b{W!d{rl}Ix=1{f}/{}},2.0,277.0,0.007220216606498195
4,807160514031201083746354433384,[{'R5{rlId{f}}': 1}],1.0,R5{rlId{f}},1.0,277.0,0.0036101083032490976
4,8071605140312010837463544333847564,[{'R4{R2{I!d{rl}/{f}}}': 1}],1.0,R4{R2{I!d{rl}/{f}}},1.0,277.0,0.0036101083032490976
4,80716051403120108374635443338475645544,[{'R3{R3{I!d{rl}/{f}}}': 1}],1.0,R3{R3{I!d{rl}/{f}}},1.0,277.0,0.0036101083032490976
4,807160514031201083746354433384756455443524,"[{'W!b{Id{Ix!=5{f}}/{rl}}': 3, 'R10{I!d{rl}/{f}}': 7, 'R2{R5{I!d{rl}/{f}}}': 1, 'R5{R2{I!d{rl}/{f}}}': 1, 'R10{Id{f}/{rl}}': 3}]",5.0,R10{I!d{rl}/{f}},15.0,277.0,0.05415162454873646
4,80716051403120108374635443338475645544352414,"[{'R8{rlId{f}}': 1, 'R10{I!d{rl}/{f}}f': 3, 'R3{W!d{rl}f}': 1, 'R10{Id{f}/{rl}}f': 2}]",4.0,R10{I!d{rl}/{f}}f,7.0,277.0,0.02527075812274368
4,8071605140312010837463544333847564554435241405-14,"[{'R10{rlId{f}}': 1, 'W!b{Id{f}/{rl}}': 6, 'W!b{Id{f}/{rlIb{}}}': 1, 'W!b{rlId{f}}': 9, 'W!b{Id{f}rl}': 1, 'W!b{rlId{fIx=4{}}}': 1, 'W!b{I!d{rl}/{f}}': 9, 'W!b{Id{f}/{Ix!=3{rl}}}': 1, 'W!b{Id{f}/{Ix<=5{r}l}}': 1, 'W!b{W!d{rl}f}': 6, 'W!b{W!d{rl}f}s': 1, 'W!b{W!d{rl}I{}/{}f}': 1, 'W!b{I!d{rl}Id{f}}': 1, 'R2{R10{I!d{rl}/{f}}}': 1, 'R2{R7{I!d{rl}/{f}}}': 1, 'R2{R6{I!d{rl}/{f}}}': 1, 'R3{R5{I!d{rl}/{f}}}': 1, 'R4{R3{I!d{rl}/{f}}}': 1, 'R3{R4{I!d{rl}/{f}}}': 4, 'R6{R2{I!d{rl}/{f}}}': 1, 'W!b{W!d{rl}I!y{f}}': 4, 'W!b{Id{f}/{W!d{rl}}}': 2}]",22.0,W!b{rlId{f}},55.0,277.0,0.19855595667870035
4,80716051403120108374635443338475645544352415,[{'R10{I!d{rl}/{f}}r': 2}],1.0,R10{I!d{rl}/{f}}r,2.0,277.0,0.007220216606498195
4,80716051403120108374635443342313,[{'R2{R3{rl}f}': 1}],1.0,R2{R3{rl}f},1.0,277.0,0.0036101083032490976
4,8071605140312010837463544334231304-13,"[{'W!b{R3{rl}f}': 1, 'R3{R3{rl}f}': 1}]",2.0,W!b{R3{rl}f},2.0,277.0,0.007220216606498195
4,8071605140312010837463544334231403-14,[{'R10{R3{rl}Id{f}}': 1}],1.0,R10{R3{rl}Id{f}},1.0,277.0,0.0036101083032490976
4,807160514031201083746556,"[{'W!b{W!d{Ix!=2{r}/{l}}f}': 1, 'W!b{W!d{Ix=2{l}/{r}}f}': 1}]",2.0,W!b{W!d{Ix!=2{r}/{l}}f},2.0,277.0,0.007220216606498195
4,8071605140312011,"[{'rW!b{Wy{lr}}': 1, 'rWy{lr}': 2, 'rR3{lr}': 1, 'rWy{lr}Wd{f}': 1, 'rWy{lr}Id{f}': 2, 'rR3{Iy{lr}/{f}}': 2}]",6.0,rWy{lr},9.0,277.0,0.032490974729241874
4,807160514031201100,"[{'W!b{Ix=1{r}Ix=2{l}}': 2, 'W!b{Ix=1{r}/{l}}': 1, 'W!b{rId{f}l}': 1, 'W!b{rl}': 2}]",4.0,W!b{Ix=1{r}Ix=2{l}},6.0,277.0,0.021660649819494584
4,807160514031201100-10,[{'R2{R4{rl}f}': 1}],1.0,R2{R4{rl}f},1.0,277.0,0.0036101083032490976
4,807160514031201100-11,"[{'R9{rl}': 1, 'R3{rl}R3{rl}': 1, 'rW!b{Id{f}/{lr}}': 1, 'W!b{R3{rl}}Ix=4{f}/{}': 1, 'rW!g{lr}': 1, 'rW!g{lr}Id{f}': 1, 'rW!g{lr}I!d{f}': 1, 'rW!g{lr}W!d{f}': 1, 'rW!g{lr}Wd{f}': 1, 'Wx=1{rl}': 1, 'Wx=1{rl}Id{f}': 2}]",11.0,Wx=1{rl}Id{f},12.0,277.0,0.04332129963898917
4,807160514031201101,[{'rW!b{Iy{lr}/{f}}': 6}],1.0,rW!b{Iy{lr}/{f}},6.0,277.0,0.021660649819494584
4,807160514031201101-11,[{'rW!b{W!y{f}lr}': 1}],1.0,rW!b{W!y{f}lr},1.0,277.0,0.0036101083032490976
4,807160514031201102,"[{'W!b{Id{f}/{Iy{l}r}}': 3, 'W!b{Iy{lr}/{Ik{r}}}': 1, 'W!b{Iy{lr}/{r}}': 1}]",3.0,W!b{Id{f}/{Iy{l}r}},5.0,277.0,0.018050541516245487
4,807160514031201102-11,[{'W!b{W!d{rl}r}': 1}],1.0,W!b{W!d{rl}r},1.0,277.0,0.0036101083032490976
4,807160514231221302-13,[{'W!b{rlId{f}/{r}}': 2}],1.0,W!b{rlId{f}/{r}},2.0,277.0,0.007220216606498195
4,807160514232231304-14,[{'W!b{rIy{lr}/{f}}': 2}],1.0,W!b{rIy{lr}/{f}},2.0,277.0,0.007220216606498195
4,80716152,[{'rIy{fr}/{l}': 1}],1.0,rIy{fr}/{l},1.0,277.0,0.0036101083032490976
4,807162,"[{'W!b{Ix<3{r}/{}}': 1, 'R2{}rr': 1}]",2.0,W!b{Ix<3{r}/{}},2.0,277.0,0.007220216606498195
4,80716251,[{'rIy{rl}/{f}': 1}],1.0,rIy{rl}/{f},1.0,277.0,0.0036101083032490976
4,8071625142312211,[{'rWy{rl}Id{f}': 1}],1.0,rWy{rl}Id{f},1.0,277.0,0.0036101083032490976
4,807162514231221102,[{'W!b{Iy{rl}/{r}}': 3}],1.0,W!b{Iy{rl}/{r}},3.0,277.0,0.010830324909747292
4,807162514231221102-11,"[{'W!b{W!d{Ix>2{l}/{r}}f}': 1, 'W!b{W!d{Ix<=2{r}/{l}}f}': 1}]",2.0,W!b{W!d{Ix>2{l}/{r}}f},2.0,277.0,0.007220216606498195
4,807162514232231304-14,[{'W!b{rIy{rl}/{f}}': 1}],1.0,W!b{rIy{rl}/{f}},1.0,277.0,0.0036101083032490976
4,80716253443526,"[{'W!b{I!g{r}/{f}}': 2, 'W!b{Ig{f}I!g{r}/{f}}': 1, 'W!b{Id{f}/{W!d{r}}l}': 1}]",3.0,W!b{I!g{r}/{f}},4.0,277.0,0.01444043321299639
5,112,"[{'Wy{fr}': 2, 'I{f}': 1, 'Wb{Iy{rl}f}': 2, 'Wb{f}Iy{rl}': 1, nan: 42, 'Iy{rl}': 13, 'R2{Iy{rf}}': 2, 'R2{Iy{f}}': 1, 'Iy{r}': 34, 'W!b{Iy{rl}}f': 2, 'I!b{Wy{frl}}': 1, 'Iy{r}Ib{f}': 1, 'W!b{}': 2, 'W{fI!y{r}l}': 1, 'Ig{r}': 2, 'Wg{frl}': 2, 'Ib{r}': 1, 'R2{Wy{frl}}': 3, 'Wk{Iy{rl}}': 1, 'W{rR2{f}}': 1, 'Iy{r}I!k{}': 1, 'R5{Iy{r}I!k{l}}': 1, 'Ig{R2{rff}}': 1, 'Ib{R2{rff}}': 1, 'Iy{frl}W!b{}': 1, 'I!y{}': 2, 'Iy{f}': 5, 'Iy{lr}': 2, 'Iy{l}Ib{lf}': 3, 'W!b{Iy{frl}}': 2, 'Wy{frl}': 2, 'R3{Ig{r}}': 2, 'W!b{Ik{}}': 2, 'Wg{R2{frl}}': 2, 'W!b{Iy{rl}}': 5, 'R4{Iy{rlf}}': 2, 'R4{Iy{r}}': 1, 'W!b{Iy{rl}Wk{f}}': 1, 'Wb{R2{rfl}}': 2, 'Wb{frl}': 1, 'Iy{rlR3{f}}': 1, 'R3{I!y{}}': 1, 'I!b{}': 1, 'W!b{Iy{rf}}': 1, 'Iy{flR2{f}}': 1, 'Wy{frlf}': 1, 'R5{Wy{rlf}}': 2, 'R2{Iy{r}}': 1, 'Wy{r}Wb{f}': 1, 'Iy{rlf}': 2, 'Wy{rlR3{f}}': 1, 'W!k{rlR3{f}}': 1, 'R3{Iy{rl}}': 1, 'Iy{l}': 1, 'W!b{I!k{frl}}': 1, 'Wy{f}Iy{rl}': 1, 'Wy{fIy{rl}}': 1, 'Wy{f}': 2, 'Wb{rR2{f}l}': 3, 'I!k{rR2{f}l}': 1, 'Ib{rf}': 1, 'W!k{fIy{rl}}': 2, 'W!k{f}Iy{rl}': 1, 'Iy{rI!y{fl}}': 1, 'I!g{}': 2, 'Iy{rlfR2{}}': 1, 'W!b{R2{Iy{rl}}}': 1, 'R2{W!y{}Iy{rl}}': 1, 'R8{Iy{rl}}': 1, 'R10{Iy{rl}}': 1, 'R3{Iy{rlf}}': 3, 'R3{Iy{frl}}': 1, 'R3{Iy{l}}': 1, 'R5{Iy{rlf}}': 1, 'W!b{Iy{r}}': 2, 'W!k{rR2{f}l}': 1, 'I!b{R2{R2{Ib{f}}}}': 2, 'R4{Iy{rl}}': 1, 'R9{Iy{rl}}': 1, 'Wb{rffl}': 5, 'W!k{rffl}': 2}]",81.0,?,211.0,1585.0,0.1331230283911672
5,112101,"[{'Wy{fr}I!y{l}': 1, 'Wy{r}Ik{l}': 1, 'lIy{}Ib{lf}': 1, 'lIy{l}Ib{f}': 1, 'Iy{r}Ik{l}': 1, 'Iy{r}l': 1, 'Iy{r}I!y{l}': 1}]",7.0,Wy{fr}I!y{l},7.0,1585.0,0.004416403785488959
5,11210190,"[{'R2{Iy{r}Ik{l}}': 2, 'R2{Iy{r}l}': 1}]",2.0,R2{Iy{r}Ik{l}},3.0,1585.0,0.0018927444794952682
5,112101908-1,"[{'Wk{l}Iy{r}': 1, 'R3{Wy{f}l}': 1, 'Wk{lIy{r}}': 1, 'R5{Wy{r}Ik{l}}': 1, 'R5{Ik{lWy{r}}}': 2, 'R3{Iy{r}l}': 3, 'W!b{Ik{l}Iy{r}}': 1, 'R10{l}f': 1, 'W!b{lIy{rl}}': 1, 'W!y{l}': 1, 'W!b{Iy{r}l}': 1}]",11.0,R3{Iy{r}l},14.0,1585.0,0.008832807570977918
5,112101918070,"[{'R2{Iy{r}lf}': 1, 'Iy{r}R2{lf}': 1, 'R2{lIy{r}f}': 1}]",3.0,R2{Iy{r}lf},3.0,1585.0,0.0018927444794952682
5,1121019180706-1,"[{'W!b{Iy{r}lf}': 3, 'R3{Iy{r}lf}': 1, 'Iy{r}W!y{lf}': 1, 'R3{Wy{f}lf}': 1}]",4.0,W!b{Iy{r}lf},6.0,1585.0,0.0037854889589905363
5,11210191807060,[{'lflR2{f}': 1}],1.0,lflR2{f},1.0,1585.0,0.0006309148264984228
5,1121019181,[{'lfIy{r}f': 1}],1.0,lfIy{r}f,1.0,1585.0,0.0006309148264984228
5,112101918171,[{'Iy{r}lR3{f}': 1}],1.0,Iy{r}lR3{f},1.0,1585.0,0.0006309148264984228
5,11210191817161,[{'lffff': 1}],1.0,lffff,1.0,1585.0,0.0006309148264984228
5,11210191817161514131211101,"[{'Iy{r}lW!b{f}': 5, 'lWk{f}Wy{r}': 1}]",2.0,Iy{r}lW!b{f},6.0,1585.0,0.0037854889589905363
5,11210191817262524333,[{'lR3{ffr}': 1}],1.0,lR3{ffr},1.0,1585.0,0.0006309148264984228
5,1121019182,"[{'Ik{lfr}': 1, 'lfrWy{f}': 1}]",2.0,Ik{lfr},2.0,1585.0,0.0012618296529968455
5,112101918271615243,[{'R3{I!y{lf}r}': 2}],1.0,R3{I!y{lf}r},2.0,1585.0,0.0012618296529968455
5,11210192817061504-1,[{'W!b{R2{lrl}}': 1}],1.0,W!b{R2{lrl}},1.0,1585.0,0.0006309148264984228
5,11210192827162524132221102-12,[{'R2{R2{lrf}}': 1}],1.0,R2{R2{lrf}},1.0,1585.0,0.0006309148264984228
5,112102,"[{'Wy{f}W!y{f}': 1, 'W!y{s}': 1, 'Id{rl}Ik{f}': 1, 'Ik{f}Id{rl}': 1, 'Iy{rl}Wk{f}': 4, 'Iy{rl}W!y{f}': 1, 'W!y{f}': 8, 'R3{I!y{f}Wb{r}}': 1, 'W!y{Iy{r}f}': 1, 'I!y{f}': 6, 'fI!y{r}': 10, 'fI!y{rl}': 6, 'fW!y{R2{rl}}': 1, 'Iy{r}Ik{f}': 8, 'W!y{f}I!y{rl}': 2, 'fIg{r}': 3, 'fIg{f}': 1, 'fIg{frl}': 1, 'fWg{frl}': 1, 'fWk{Iy{rl}}': 1, 'f': 23, 'fWk{Iy{lf}}': 1, 'fW!y{f}': 1, 'Iy{r}f': 3, 'W!y{Iy{rl}f}': 2, 'I!b{f}': 2, 'fR3{I!y{rl}}': 1, 'Ik{f}': 2, 'W!y{fI!y{rl}}': 3, 'Wk{f}I!y{rf}': 1, 'Wk{fI!y{rf}}': 1, 'R2{I!y{f}}': 1, 'R6{Iy{rl}}f': 1, 'R2{W!y{f}}': 1, 'Iy{r}I!b{f}': 1, 'I!b{s}': 1, 'fW!y{r}': 2, 'fW!y{l}Wb{f}': 1, 'I!k{rl}Ik{f}': 1, 'Wk{f}': 1, 'Ig{r}Ik{f}': 1, 'fIy{}': 1, 'I!y{f}Iy{}': 2, 'I!g{f}': 1, 'fIy{R2{}}': 1, 'R3{Ik{f}}': 1, 'Iy{rl}f': 2, 'W!b{I!y{f}}': 1, 'R2{Iy{r}}f': 1, 'fI!y{frl}': 1, 'R3{I!y{f}}': 1}]",51.0,f,122.0,1585.0,0.07697160883280757
5,11210291,"[{'fI!y{r}l': 2, 'fWy{l}': 1, 'fIy{l}': 3, 'Iy{r}flR3{}': 1, 'Iy{r}I!b{fl}': 2, 'Iy{r}Ik{fl}': 5, 'fl': 1, 'fI!y{r}I!k{l}': 1, 'Iy{l}Ik{fl}': 1, 'Iy{r}I!y{fl}': 3, 'I!y{fl}': 2, 'Iy{r}fl': 1}]",12.0,Iy{r}Ik{fl},23.0,1585.0,0.014511041009463722
5,1121029180,[{'fI!y{r}R2{l}': 1}],1.0,fI!y{r}R2{l},1.0,1585.0,0.0006309148264984228
5,11210291807-1,[{'fR3{lIy{r}}': 1}],1.0,fR3{lIy{r}},1.0,1585.0,0.0006309148264984228
5,11210291807060504030201000,[{'W!b{fIy{ll}}': 1}],1.0,W!b{fIy{ll}},1.0,1585.0,0.0006309148264984228
5,112102918071625344,[{'fR2{l}W!b{r}': 1}],1.0,fR2{l}W!b{r},1.0,1585.0,0.0006309148264984228
5,1121029181,"[{'fW!k{Iy{lf}}': 1, 'Iy{f}flf': 1, 'R2{fIy{l}}': 1, 'fI!y{r}lf': 1, 'R2{Iy{l}f}': 2}]",5.0,R2{Iy{l}f},6.0,1585.0,0.0037854889589905363
5,112102918170,"[{'R2{Iy{r}fl}': 3, 'R2{flIy{r}}': 1}]",2.0,R2{Iy{r}fl},4.0,1585.0,0.002523659305993691
5,112102918170605-1,"[{'W!b{Iy{r}fl}': 4, 'Iy{f}W!y{fl}': 1, 'R3{Wy{f}fl}': 1, 'R3{fWg{f}l}': 1, 'Wk{fl}Iy{r}': 1, 'W!y{fl}Iy{r}': 1, 'Wk{flIy{r}}': 1, 'R3{flIy{r}}': 1, 'Wk{fl}Wy{r}': 1, 'R5{Iy{r}fl}': 4, 'Iy{r}R5{fl}': 1, 'W!y{fl}': 1}]",12.0,W!b{Iy{r}fl},18.0,1585.0,0.011356466876971609
5,11210291817261514231,[{'R3{fI!y{r}l}': 1}],1.0,R3{fI!y{r}l},1.0,1585.0,0.0006309148264984228
5,11210291817261514231211201,[{'W!b{fI!y{r}l}': 2}],1.0,W!b{fI!y{r}l},2.0,1585.0,0.0012618296529968455
