task,string_square_sequence,program,new_solved,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
12,524334201000,[{'rrff': 2}],2,1.0,rrff,2.0,34.0,0.058823529411764705
12,524334201000-1-1,[{'rrssl': 1}],1,1.0,rrssl,1.0,34.0,0.029411764705882353
12,524334201000-10,[{'rrfffff': 1}],1,1.0,rrfffff,1.0,34.0,0.029411764705882353
13,50,"[{nan: 24, 'R10{R10{R10{R10{R10{R10{}}}}}}': 1, 'R2{}': 3, 'R2{}R2{}R2{}R2{}R2{}R2{}': 1, 'R4{}': 3, 'R5{f}R2{l}rR3{f}': 1}]",33,6.0,?,33.0,126.0,0.2619047619047619
13,504-1,[{'R4{}lllR3{}': 1}],1,1.0,R4{}lllR3{},1.0,126.0,0.007936507936507936
13,5040,"[{'fR10{}': 1, 'fR3{}': 1}]",2,2.0,fR10{},2.0,126.0,0.015873015873015872
13,50403-1,"[{'fR4{}lR3{}fR3{}': 1, 'R4{flf}': 2}]",3,2.0,R4{flf},3.0,126.0,0.023809523809523808
13,504030,[{'R2{f}': 1}],1,1.0,R2{f},1.0,126.0,0.007936507936507936
13,5040302-1,"[{'ffllf': 1, 'R2{f}ll': 1}]",2,2.0,ffllf,2.0,126.0,0.015873015873015872
13,50403020,"[{'fffR2{}R2{}': 1, 'fff': 2}]",3,2.0,fff,3.0,126.0,0.023809523809523808
13,504030201-1,"[{'fffllR10{}': 1, 'fffllR2{}': 1}]",2,2.0,fffllR10{},2.0,126.0,0.015873015873015872
13,504030201054,"[{'R4{f}': 8, 'R3{f}s': 1, 'ffff': 2, 'R4{f}R2{}': 2, 'ffffR2{}': 1}]",14,5.0,R4{f},14.0,126.0,0.1111111111111111
13,50403020105443,[{'ffffl': 2}],2,1.0,ffffl,2.0,126.0,0.015873015873015872
13,5040302010544332,"[{'ffffll': 5, 'R4{f}ll': 1}]",6,2.0,ffffll,6.0,126.0,0.047619047619047616
